RF_KO,name,definition,pathways,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-),Num_of_genomes
K00163,aceE,pyruvate dehydrogenase E1 component [EC:1.2.4.1],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00020': 'Citrate cycle (TCA cycle)'}",9.19,5.2,85.61,18.22,49.8,31.98,5360
K00242,"sdhD, frdD","succinate dehydrogenase / fumarate reductase, membrane anchor subunit","{'ko01120': 'Microbial metabolism in diverse environments', 'ko00650': 'Butanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00020': 'Citrate cycle (TCA cycle)', 'ko00190': 'Oxidative phosphorylation', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics'}",11.31,2.75,85.94,19.56,49.79,30.65,5427
K00252,"GCDH, gcdH",glutaryl-CoA dehydrogenase [EC:1.3.8.6],"{'ko00380': 'Tryptophan metabolism', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00071': 'Fatty acid degradation', 'ko01130': 'Biosynthesis of antibiotics', 'ko01100': 'Metabolic pathways', 'ko00362': 'Benzoate degradation', 'ko00310': 'Lysine degradation'}",9.22,6.92,83.86,20.99,50.22,28.79,5812
K03308,TC.NSS,"neurotransmitter:Na+ symporter, NSS family",,63.76,18.32,17.92,14.93,46.74,38.33,4814
K00990,glnD,[protein-PII] uridylyltransferase [EC:2.7.7.59],{'ko02020': 'Two-component system'},10.29,5.29,84.42,18.7,49.99,31.31,5511
K01879,glyS,glycyl-tRNA synthetase beta chain [EC:6.1.1.14],{'ko00970': 'Aminoacyl-tRNA biosynthesis'},19.4,11.54,69.06,28.53,50.55,20.92,6547
K07173,luxS,S-ribosylhomocysteine lyase [EC:4.4.1.21],"{'ko01230': 'Biosynthesis of amino acids', 'ko00270': 'Cysteine and methionine metabolism', 'ko02026': 'Biofilm formation - Escherichia coli', 'ko05111': 'Biofilm formation - Vibrio cholerae', 'ko02024': 'Quorum sensing', 'ko01100': 'Metabolic pathways'}",60.66,24.67,14.67,9.64,42.88,47.48,3788
K06871,K06871,uncharacterized protein,,52.27,24.13,23.6,7.03,39.25,53.72,3312
K06929,K06929,uncharacterized protein,,7.61,10.32,82.07,15.17,47.51,37.32,4867
K06861,lptB,lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-],{'ko02010': 'ABC transporters'},21.22,5.86,72.92,30.64,49.69,19.67,7159
K01920,gshB,glutathione synthase [EC:6.3.2.3],"{'ko00480': 'Glutathione metabolism', 'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways'}",9.3,2.82,87.88,14.36,47.26,38.38,4720
K00625,"E2.3.1.8, pta",phosphate acetyltransferase [EC:2.3.1.8],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00620': 'Pyruvate metabolism', 'ko00640': 'Propanoate metabolism', 'ko00720': 'Carbon fixation pathways in prokaryotes', 'ko01200': 'Carbon metabolism', 'ko01100': 'Metabolic pathways', 'ko00430': 'Taurine and hypotaurine metabolism', 'ko00680': 'Methane metabolism'}",55.6,28.19,16.21,13.92,46.67,39.41,4491
K01251,"E3.3.1.1, ahcY",adenosylhomocysteinase [EC:3.3.1.1],"{'ko00270': 'Cysteine and methionine metabolism', 'ko01100': 'Metabolic pathways'}",13.53,20.69,65.78,39.19,46.87,13.94,8004
K07574,yhbY,RNA-binding protein,,65.78,12.63,21.59,15.49,47.85,36.66,4573
K06911,K06911,uncharacterized protein,,21.05,14.47,64.48,41.43,45.88,12.69,8075
K03089,rpoH,RNA polymerase sigma-32 factor,,9.33,2.34,88.33,13.35,47.4,39.25,4520
K07390,"grxD, GLRX5",monothiol glutaredoxin,,9.3,2.21,88.49,13.77,47.32,38.91,4575
K07071,K07071,uncharacterized protein,,7.69,12.61,79.7,21.18,49.71,29.11,5884
K01698,"hemB, ALAD",porphobilinogen synthase [EC:4.2.1.24],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00860': 'Porphyrin and chlorophyll metabolism', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",30.03,34.58,35.39,66.44,30.37,3.19,10118
K01069,"gloB, HAGH",hydroxyacylglutathione hydrolase [EC:3.1.2.6],{'ko00620': 'Pyruvate metabolism'},10.36,4.81,84.83,17.42,48.96,33.62,5150
K03614,rnfD,electron transport complex protein RnfD,,48.54,24.74,26.72,5.53,36.17,58.3,2943
K02427,"rlmE, rrmJ, ftsJ",23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166],,9.29,3.11,87.6,13.71,47.46,38.83,4547
K05788,"ihfB, himD",integration host factor subunit beta,,9.39,3.34,87.27,13.91,47.38,38.71,4619
K18707,mtaB,threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5],,71.62,10.59,17.79,24.05,49.96,25.99,6341
K07658,"phoB1, phoP","two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP",{'ko02020': 'Two-component system'},64.96,10.53,24.51,12.25,45.87,41.88,4195
K09810,lolD,lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-],{'ko02010': 'ABC transporters'},21.55,6.75,71.7,29.82,49.65,20.53,6886
K06916,zapE,cell division protein ZapE,,10.88,2.95,86.17,17.59,48.99,33.42,5235
K04764,"ihfA, himA",integration host factor subunit alpha,,9.32,2.38,88.3,13.08,47.2,39.72,4519
K00684,aat,leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6],,10.54,9.6,79.86,21.8,50.72,27.48,6062
K01029,"E2.8.3.5B, scoB",3-oxoacid CoA-transferase subunit B [EC:2.8.3.5],"{'ko00650': 'Butanoate metabolism', 'ko00072': 'Synthesis and degradation of ketone bodies', 'ko00280': 'Valine, leucine and isoleucine degradation'}",10.5,5.38,84.12,17.93,48.8,33.27,5458
K01494,dcd,dCTP deaminase [EC:3.5.4.13],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}",15.07,15.39,69.54,34.81,48.84,16.35,7443
K02446,glpX,"fructose-1,6-bisphosphatase II [EC:3.1.3.11]","{'ko01120': 'Microbial metabolism in diverse environments', 'ko00030': 'Pentose phosphate pathway', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01200': 'Carbon metabolism', 'ko00051': 'Fructose and mannose metabolism', 'ko00710': 'Carbon fixation in photosynthetic organisms', 'ko00680': 'Methane metabolism', 'ko01100': 'Metabolic pathways', 'ko01130': 'Biosynthesis of antibiotics'}",4.25,5.27,90.48,8.18,41.64,50.18,3485
K07516,fadN,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko01200': 'Carbon metabolism', 'ko00650': 'Butanoate metabolism', 'ko00071': 'Fatty acid degradation', 'ko01212': 'Fatty acid metabolism', 'ko00362': 'Benzoate degradation', 'ko01100': 'Metabolic pathways'}",7.32,6.11,86.57,13.75,46.77,39.48,4578
K01061,E3.1.1.45,carboxymethylenebutenolidase [EC:3.1.1.45],"{'ko01120': 'Microbial metabolism in diverse environments', 'ko00361': 'Chlorocyclohexane and chlorobenzene degradation', 'ko00364': 'Fluorobenzoate degradation', 'ko00623': 'Toluene degradation', 'ko01130': 'Biosynthesis of antibiotics', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",6.67,4.79,88.54,14.98,47.7,37.32,4754
K14162,dnaE2,error-prone DNA polymerase [EC:2.7.7.7],,9.39,3.92,86.69,16.2,48.75,35.05,5116
K02065,"mlaF, linL, mkl",phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein,{'ko02010': 'ABC transporters'},20.79,6.61,72.6,32.2,49.42,18.38,7320
K01640,"E4.1.3.4, HMGCL, hmgL",hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4],"{'ko00072': 'Synthesis and degradation of ketone bodies', 'ko00650': 'Butanoate metabolism', 'ko00281': 'Geraniol degradation', 'ko01100': 'Metabolic pathways', 'ko00280': 'Valine, leucine and isoleucine degradation', 'ko04146': 'Peroxisome'}",7.48,9.05,83.47,21.81,50.36,27.83,5871
K09791,K09791,uncharacterized protein,,6.49,5.18,88.33,15.36,48.84,35.8,4893
K18587,COQ9,ubiquinone biosynthesis protein COQ9,,3.62,1.4,94.98,0.79,17.36,81.85,1253
K03151,thiI,tRNA uracil 4-sulfurtransferase [EC:2.8.1.4],"{'ko04122': 'Sulfur relay system', 'ko00730': 'Thiamine metabolism', 'ko01100': 'Metabolic pathways'}",65.18,11.01,23.81,11.93,45.15,42.92,4077
K00568,ubiG,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64],"{'ko00130': 'Ubiquinone and other terpenoid-quinone biosynthesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01100': 'Metabolic pathways'}",9.31,2.32,88.37,13.46,47.17,39.37,4611
